Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201712,December 2017,6,1,1,Imports,826,United Kingdom,,156,China,,,,,,,,,950611,Skis; for snow,0,,,,,,15452,,2734,,,0
HS,2017,201712,December 2017,6,1,1,Imports,826,United Kingdom,,381,Italy,,,,,,,,,950611,Skis; for snow,0,,,,,,129,,7797,,,0
HS,2017,201712,December 2017,6,1,1,Imports,826,United Kingdom,,528,Netherlands,,,,,,,,,950611,Skis; for snow,0,,,,,,312,,20893,,,0
HS,2017,201712,December 2017,6,1,1,Imports,826,United Kingdom,,842,United States of America,,,,,,,,,950611,Skis; for snow,0,,,,,,120,,12538,,,0
HS,2017,201712,December 2017,6,1,1,Imports,826,United Kingdom,,752,Sweden,,,,,,,,,950611,Skis; for snow,0,,,,,,19,,64,,,0
HS,2017,201705,May 2017,6,1,1,Imports,826,United Kingdom,,490,"Other Asia, nes",,,,,,,,,950611,Skis; for snow,0,,,,,,309,,7217,,,0
HS,2017,201705,May 2017,6,1,1,Imports,826,United Kingdom,,56,Belgium,,,,,,,,,950611,Skis; for snow,0,,,,,,107,,1782,,,0
HS,2017,201701,January 2017,6,1,2,Exports,826,United Kingdom,,251,France,,,,,,,,,950611,Skis; for snow,0,,,,,,54,,3074,,,0
HS,2017,201701,January 2017,6,1,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,950611,Skis; for snow,0,,,,,,229,,9385,,,0
HS,2017,201701,January 2017,6,1,2,Exports,826,United Kingdom,,344,"China, Hong Kong SAR",,,,,,,,,950611,Skis; for snow,0,,,,,,61,,12092,,,0
HS,2017,201701,January 2017,6,1,2,Exports,826,United Kingdom,,372,Ireland,,,,,,,,,950611,Skis; for snow,0,,,,,,192,,10435,,,0
HS,2017,201701,January 2017,6,1,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,950611,Skis; for snow,0,,,,,,1188,,2282,,,0
HS,2017,201701,January 2017,6,1,2,Exports,826,United Kingdom,,724,Spain,,,,,,,,,950611,Skis; for snow,0,,,,,,62,,3269,,,0
HS,2017,201701,January 2017,6,1,2,Exports,826,United Kingdom,,842,United States of America,,,,,,,,,950611,Skis; for snow,0,,,,,,346,,65777,,,0
HS,2017,201701,January 2017,6,1,2,Exports,826,United Kingdom,,0,World,,,,,,,,,950611,Skis; for snow,0,,,,,,10307,,266070,,,0
HS,2017,201701,January 2017,6,1,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,950611,Skis; for snow,0,,,,,,18,,456,,,0
HS,2017,201701,January 2017,6,1,2,Exports,826,United Kingdom,,36,Australia,,,,,,,,,950611,Skis; for snow,0,,,,,,81,,4014,,,0
HS,2017,201712,December 2017,6,1,1,Imports,826,United Kingdom,,124,Canada,,,,,,,,,950611,Skis; for snow,0,,,,,,14,,2537,,,0
HS,2017,201705,May 2017,6,1,1,Imports,826,United Kingdom,,251,France,,,,,,,,,950611,Skis; for snow,0,,,,,,1567,,85652,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,410,Rep. of Korea,,,,,,,,,950611,Skis; for snow,0,,,,,,244,,17368,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,414,Kuwait,,,,,,,,,950611,Skis; for snow,0,,,,,,7,,2113,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,428,Latvia,,,,,,,,,950611,Skis; for snow,0,,,,,,10,,26,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,470,Malta,,,,,,,,,950611,Skis; for snow,0,,,,,,31,,22,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,490,"Other Asia, nes",,,,,,,,,950611,Skis; for snow,0,,,,,,17,,1580,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,579,Norway,,,,,,,,,950611,Skis; for snow,0,,,,,,1,,1239,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,818,Egypt,,,,,,,,,950611,Skis; for snow,0,,,,,,16,,2384,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,784,United Arab Emirates,,,,,,,,,950611,Skis; for snow,0,,,,,,248,,9383,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,376,Israel,,,,,,,,,950611,Skis; for snow,0,,,,,,181,,7656,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,292,Gibraltar,,,,,,,,,950611,Skis; for snow,0,,,,,,20,,4295,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,352,Iceland,,,,,,,,,950611,Skis; for snow,0,,,,,,255,,20768,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,634,Qatar,,,,,,,,,950611,Skis; for snow,0,,,,,,173,,4589,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,688,Serbia,,,,,,,,,950611,Skis; for snow,0,,,,,,110,,1866,,,0
HS,2017,201705,May 2017,6,1,1,Imports,826,United Kingdom,,0,World,,,,,,,,,950611,Skis; for snow,0,,,,,,7393,,287384,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,28,Antigua and Barbuda,,,,,,,,,950611,Skis; for snow,0,,,,,,104,,1321,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,156,China,,,,,,,,,950611,Skis; for snow,0,,,,,,107,,3926,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,100,Bulgaria,,,,,,,,,950611,Skis; for snow,0,,,,,,60,,45,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,392,Japan,,,,,,,,,950611,Skis; for snow,0,,,,,,187,,4422,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,36,Australia,,,,,,,,,950611,Skis; for snow,0,,,,,,41,,1340,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,124,Canada,,,,,,,,,950611,Skis; for snow,0,,,,,,9,,1793,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,156,China,,,,,,,,,950611,Skis; for snow,0,,,,,,104,,16393,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,203,Czech Rep.,,,,,,,,,950611,Skis; for snow,0,,,,,,16,,82,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,226,Equatorial Guinea,,,,,,,,,950611,Skis; for snow,0,,,,,,39,,3295,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,490,"Other Asia, nes",,,,,,,,,950611,Skis; for snow,0,,,,,,1,,2118,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,270,Gambia,,,,,,,,,950611,Skis; for snow,0,,,,,,387,,1291,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,360,Indonesia,,,,,,,,,950611,Skis; for snow,0,,,,,,15,,1536,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,372,Ireland,,,,,,,,,950611,Skis; for snow,0,,,,,,363,,9564,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,376,Israel,,,,,,,,,950611,Skis; for snow,0,,,,,,45,,3875,,,0
